 3.3110   9.1350  3.62e+02  2.0310  1.4130  6.53e+03  7.630   16.840 1
 2.1870  14.2000  2.05e+00  3.1110  0.3214  3.43e+03 11.560   12.320 3
 1.7430   4.9570  2.35e+02  1.6600  0.9550  5.55e+03  8.807    7.547 0
 1.4750   2.1600  1.24e+03  1.9450  1.1250  5.98e+03  6.976    8.371 0
 2.2880   9.7530  5.92e+00  2.9510  0.4243  3.62e+03 10.990    8.626 2
 2.3240  13.9900  2.09e+00  3.3220  0.3204  3.42e+03 11.520    7.815 2
 3.2940   8.4200  4.45e+00  5.2290  0.3365  3.44e+03 11.790   26.360 2
 2.8080   5.6180  2.56e+00  9.1540  0.1666  3.23e+03 11.130   28.710 3
17.1500   1.3440  1.02e+04 16.0300  2.1070  6.67e+03  6.724  457.400 2
 4.8010  17.1400  3.41e+02  2.0990  2.1070  6.67e+03  6.724   13.100 2
 1.9740  11.4500  1.55e+00  4.0910  0.2246  3.30e+03 11.210   17.700 2
 4.7130   5.1720  1.16e+02  4.6030  0.8045  5.00e+03  7.853   64.010 0
 1.5620   0.6209  7.12e+01  8.9190  0.2172  3.28e+03 12.140   16.950 2
 2.8460  18.1600  2.41e+00  3.0060  0.4119  3.59e+03 10.980   15.490 2
 2.2420   2.7510  3.08e+02  2.8200  0.8026  5.19e+03  9.769   10.600 2
 3.7510  17.7500  4.30e+00  3.4600  0.5037  3.84e+03  8.887   52.460 1
 1.1120   0.7912  5.34e+01  2.9540  0.2244  3.30e+03 11.080    8.483 2
 1.5300   7.5120  4.78e+00  2.7820  0.3180  3.44e+03 10.170    8.256 2
 2.3080   1.8870  4.55e+01  5.4820  0.3964  3.55e+03 11.100   19.910 0
 7.7160   3.9210  3.21e+02  7.4070  0.9120  5.62e+03  9.794   96.500 1
 1.4920   1.0180  8.88e+02  3.5040  0.7028  5.03e+03  6.398   40.700 1
 2.3840   5.5900  6.77e+00  4.5540  0.3122  3.44e+03 10.660   20.290 3
 2.9360  29.9400  1.29e+00  2.6070  0.4166  3.61e+03 10.140   18.140 1
 2.8170   6.2790  6.29e+01  2.9830  0.6872  4.82e+03  9.878   17.220 0
 1.7110  15.1400  1.34e+00  2.8270  0.2613  3.36e+03 10.870    9.068 1
 3.6010   5.9910  2.84e+02  2.9630  1.0440  5.97e+03  8.756   22.500 0
 2.3990  17.1800  8.52e-01  4.3540  0.2183  3.29e+03 11.740   17.840 1
 2.4300   8.6650  1.33e+01  2.8050  0.5327  3.95e+03 10.080   13.840 2
 1.5090   8.1230  6.42e+00  2.2730  0.3926  3.56e+03 10.370   10.700 1
 2.6370   1.9760  2.89e+01  7.0170  0.3246  3.44e+03 11.180   22.600 3
 5.2650  39.4300  5.66e+01  1.9000  1.4700  6.58e+03  7.825   14.550 0
 3.6660   4.7810  2.16e+02  3.6860  0.8379  5.60e+03 10.400   20.440 0
 3.8540   1.8520  1.18e+01 17.2400  0.1735  3.22e+03 12.950   45.840 3
11.9600  40.0200  1.61e+01  4.9700  0.9864  5.60e+03  9.019  169.900 0
 2.1220  10.3500  3.35e+00  3.1870  0.3336  3.47e+03 10.440   13.260 2
 6.9200   5.2470  5.13e+02  5.2540  1.2030  6.30e+03  9.176   64.280 1
 2.9740   6.8440  2.19e+00  8.5060  0.1808  3.23e+03 12.700    9.031 0
 1.7290   2.3970  2.09e+01  4.4790  0.3122  3.44e+03 10.660   17.680 3
12.9800   6.0350  8.42e+03  5.1320  2.5020  1.06e+04  6.149   61.440 1
 2.7730  13.7100  4.23e+02  1.3470  1.5610  7.60e+03  8.572    7.872 1
 1.4740   1.0550  8.14e+01  5.1790  0.3616  3.49e+03 11.600    7.904 2
 3.2060  11.6500  8.42e+01  2.2080  0.9588  5.69e+03  9.300   13.230 1
 1.9790  19.5400  2.33e+00  2.0770  0.4240  3.61e+03 10.800    7.982 3
 1.8530   2.2050  1.53e+01  6.2480  0.2399  3.32e+03 11.240   29.310 3
 1.0490  15.9600  6.25e-01  1.1640  0.1642  3.23e+03 10.910    8.256 1
 1.0610   0.5018  6.59e+02  1.4970  0.5522  4.00e+03 10.210    7.934 3
 2.2890   5.8040  7.55e+00  4.2270  0.3367  3.47e+03  8.917   46.110 2
 1.9930  12.5500  6.41e-01  5.3950  0.1574  3.03e+03 11.100   19.720 1
 2.2660   7.6770  4.37e+00  3.9320  0.3102  3.44e+03 10.980   15.100 2
 1.9350   5.0600  3.34e+02  1.7200  1.0520  5.89e+03  7.558   16.670 2
 2.2940   8.9520  8.66e+00  2.8740  0.4756  3.71e+03 11.570    8.762 2
 3.4690  10.8400  6.76e+01  2.6960  0.8035  5.60e+03  9.597   16.710 0
 2.7500  20.9600  1.41e+02  1.3660  1.4680  6.59e+03  3.397    9.519 1
 2.5490   4.8500  1.47e+01  4.2180  0.4201  3.60e+03 10.830   13.500 1
 2.6030   2.7790  1.25e+01  7.4190  0.2579  3.34e+03 12.260   12.140 3
 2.3050   5.5990  8.76e+00  4.0070  0.3610  3.50e+03 11.450   10.800 2
 7.0270  14.4500  3.39e+02  3.9430  3.0080  4.98e+03  5.026   32.320 1
 2.6700   2.1800  8.82e+02  3.4520  0.9244  5.88e+03  8.774   22.490 1
 1.8400   1.1590  1.06e+03  3.2820  0.7598  5.38e+03  9.061   16.610 0
 3.1930   2.4590  3.41e+01  6.6120  0.4065  3.59e+03 10.010   35.810 2
 2.7250   2.3740  3.83e+02  3.6100  0.7962  5.21e+03  8.884   21.650 0
 1.2970   3.4120  1.02e+01  2.8210  0.2661  3.36e+03 11.030    8.187 3
